"Bought Together","Samen Gekocht"
"Frequently Bought Together","Vaak samen gekocht"
"Active","Actief"
"Title","Titel"
"Header visible in store frontend","Header zichtbaar in store frontend"
"Exclude Products Already In Cart","Laat items weg die al in de winkelwagen liggen"
"Maximum Number of Products","Maximaal aantal producten"
"Leave 0, 1 or empty for no limits","Laat 0, 1 of leeg om geen limieten in te stellen"
"Image Size","Afbeeldings Afmeting"
"Allow Ordering More Than One","Sta het sorteren van meer dan 1 toe"
"If not set, quantity editing box is hidden and default quantity (1) is used.","Als deze niet gezet is, wordt er standaard 1 gebruikt."
"Price for All","Prijs voor Alle Producten"
"Price For Both","Prijs voor Beide Producten"
"Price For All Three","Prijs voor Alle Drie"
"Price For All Four","Prijs voor Alle Vier"
"Price For All Five","Prijs voor Alle Vijf"
"Price For All Six","Prijs voor Alle Zes"
"Price For All Seven","Prijs voor Alle Zeven"
"Price For All Eight","Prijs voor Alle Acht"
"Price For All Nine","Prijs voor Alle Negen"
"Price For All Ten","Prijs voor Alle Toen"
"Add all to Cart","Voeg alles toe aan Winkelwagen"
"Add both to Cart","Voeg beide toe aan Winkelwagen"
"Add all three to Cart","Voeg alle drie toe aan Winkelwagen"
"Add all four to Cart","Voeg alle vier toe aan Winkelwagen"
"Add all five to Cart","Voeg alle vijf toe aan Winkelwagen"
"Add all six to Cart","Voeg alle zes toe aan Winkelwagen"
"Add all seven to Cart","Voeg alle zeven toe aan Winkelwagen"
"Add all eight to Cart","Voeg alle acht toe aan Winkelwagen"
"Add all nine to Cart","Voeg alle negen toe aan Winkelwagen"
"Add all ten to Cart","Voeg alle tien toe aan Winkelwagen"
"Add all to Wishlist","Voeg alles toe aan Wenslijst"
"Add both to Wishlist","Voeg beide toe aan Wenslijst"
"Add all three to Wishlist","Voeg alle drie toe aan Wenslijst"
"Add all four to Wishlist","Voeg alle vier toe aan Wenslijst"
"Add all five to Wishlist","Voeg alle vijf toe aan Wenslijst"
"Add all six to Wishlist","Voeg alle zes toe aan Wenslijst"
"Add all seven to Wishlist","Voeg alle zeven toe aan Wenslijst"
"Add all eight to Wishlist","Voeg alle acht toe aan Wenslijst"
"Add all nine to Wishlist","Voeg alle negen toe aan Wenslijst"
"Add all ten to Wishlist","Voeg alle tien toe aan Wenslijst"
"Add all to Compare","Voeg alles toe aan Vergelijken"
"Add both to Compare","Voeg beide toe aan Vergelijken"
"Add all three to Compare","Voeg alle drie toe aan Vergelijken"
"Add all four to Compare","Voeg alle vier toe aan Vergelijken"
"Add all five to Compare","Voeg alle vijf toe aan Vergelijken"
"Add all six to Compare","Voeg alle zes toe aan Vergelijken"
"Add all seven to Compare","Voeg alle zeven toe aan Vergelijken"
"Add all eight to Compare","Voeg alle acht toe aan Vergelijken"
"Add all nine to Compare","Voeg alle negen toe aan Vergelijken"
"Add all ten to Compare","Voeg alle tien toe aan Vergelijken"
"Cannot add %s to shopping cart.","%s kan niet worden toegevoegd aan de Winkelwagen."